City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,bolobo,-2.1667,16.2333,84.43,59,100,2.53,CD,1682412378
276,fort mcmurray,56.7268,-111.381,36.99,87,0,6.91,CA,1682412326
277,tateyama,34.9833,139.8667,60.78,61,99,14.43,JP,1682412379
278,esbjerg,55.4667,8.45,43.9,68,75,21.85,DK,1682412380
279,sassandra,4.95,-6.0833,82.81,81,99,4.7,CI,1682412381
280,banda aceh,5.5577,95.3222,88.43,64,94,11.9,ID,1682412381
281,ballito,-29.539,31.2144,78.94,65,100,12.66,ZA,1682412382
282,punta del este,-34.9667,-54.95,66.87,97,0,7.0,UY,1682412382
283,xiahu,26.6106,119.9483,62.33,90,85,4.47,CN,1682412383
284,rada tilly,-45.9333,-67.5333,64.89,45,0,19.57,AR,1682412384
285,puerto armuelles,8.2833,-82.8667,76.71,86,3,2.84,PA,1682412384
286,la passe,45.5549,-0.8967,56.03,80,100,4.41,FR,1682412385
287,dorohoi,47.95,26.4,60.13,68,92,5.99,RO,1682412386
288,la ronge,55.1001,-105.2842,34.05,60,75,9.22,CA,1682412191
289,rundu,-17.9333,19.7667,85.8,28,14,5.48,NA,1682412388
290,benguela,-12.5763,13.4055,84.51,71,94,6.55,AO,1682412388
291,hamilton,39.1834,-84.5333,38.25,80,0,4.61,US,1682412389
292,puerto baquerizo moreno,-0.9,-89.6,77.34,82,0,7.65,EC,1682412390
293,sao vicente,-23.9631,-46.3919,69.98,26,38,4.25,BR,1682412171
294,ulsteinvik,62.3432,5.8487,42.08,71,100,8.99,NO,1682412391
295,east london,-33.0153,27.9116,72.54,68,40,6.91,ZA,1682412391
296,port hedland,-20.3167,118.5667,82.45,69,92,11.5,AU,1682412392
297,kushiro,42.975,144.3747,52.75,43,40,11.5,JP,1682412393
298,polyarnyy,69.1989,33.4478,31.1,71,0,21.36,RU,1682412245
299,belomorsk,64.5232,34.7668,32.67,84,38,7.67,RU,1682412395
300,varzea da palma,-17.5981,-44.7308,63.41,83,47,1.97,BR,1682412395
301,homeacre-lyndora,40.8721,-79.9206,32.13,97,0,0.0,US,1682412396
302,soure,-0.7167,-48.5233,77.18,89,100,7.31,BR,1682412397
303,sao gabriel da cachoeira,-0.1303,-67.0892,70.14,99,100,0.4,BR,1682412397
304,mahina,-17.5065,-149.489,79.75,83,48,2.3,PF,1682412398
305,berlin,52.5244,13.4105,50.95,71,75,17.0,DE,1682412000
306,karkira,36.9292,6.5856,75.2,39,91,1.52,DZ,1682412399
307,kidal,18.4411,1.4078,92.03,9,0,9.04,ML,1682412312
308,siwana,25.6333,72.4167,99.54,10,6,7.87,IN,1682412400
309,tidjikja,18.5564,-11.4271,88.97,11,0,13.85,MR,1682412150
310,sedhiou,12.7081,-15.5569,84.31,34,3,5.1,SN,1682412402
311,kenai,60.5544,-151.2583,35.1,66,100,4.61,US,1682412402
312,fisterra,42.9049,-9.2629,63.01,88,100,14.05,ES,1682412137
313,tudor vladimirescu,45.5667,27.65,61.11,58,100,11.79,RO,1682412403
314,inongo,-1.95,18.2667,76.95,78,98,4.14,CD,1682412404
315,price,39.5994,-110.8107,40.26,65,75,0.0,US,1682412405
316,vargarda,58.0371,12.8091,48.24,85,92,7.43,SE,1682412405
317,broome,42.2506,-75.833,37.85,94,100,3.44,US,1682412406
318,ouahigouya,13.5828,-2.4216,96.4,8,14,8.77,BF,1682412407
319,haiku-pauwela,20.9219,-156.3051,72.05,85,0,3.44,US,1682412241
320,beyneu,45.3167,55.2,80.28,15,100,32.03,KZ,1682412408
321,kalmunai,7.4167,81.8167,88.23,62,100,11.03,LK,1682412408
322,urengoy,65.9667,78.3667,29.7,83,100,14.92,RU,1682412409
323,touggourt,33.1053,6.058,85.95,20,0,10.2,DZ,1682412410
324,richards bay,-28.783,32.0377,77.38,72,98,8.93,ZA,1682412411
325,waeng,16.3001,103.9779,98.47,23,93,8.19,TH,1682412412
326,viedma,-40.8135,-62.9967,57.16,67,0,11.41,AR,1682412412
327,sergeyevka,53.88,67.4158,71.11,22,4,14.23,KZ,1682412413
328,huntsville,34.7304,-86.5861,45.16,73,0,3.44,US,1682412314
329,tomatlan,19.9333,-105.25,65.91,84,96,2.53,MX,1682412414
330,fallon,39.4735,-118.7774,48.07,37,0,10.36,US,1682412415
331,tempio pausania,40.8974,9.1035,59.92,65,44,19.75,IT,1682412415
332,nushki,29.5542,66.0215,87.12,14,100,7.52,PK,1682412416
333,port huron,42.9709,-82.4249,38.01,84,75,2.3,US,1682412417
334,shinyanga,-3.6667,33.4333,78.19,63,94,6.91,TZ,1682412417
335,saint-berthevin,48.0667,-0.8333,48.16,81,75,6.91,FR,1682412418
336,coquimbo,-29.9533,-71.3436,55.13,100,0,3.44,CL,1682412418
337,lompoc,34.6391,-120.4579,48.92,72,100,24.0,US,1682412419
338,olonets,60.9847,32.9698,63.27,46,73,7.96,RU,1682412420
339,lijiang,26.8688,100.2207,71.4,23,98,5.28,CN,1682412420
340,nadym,65.5333,72.5167,30.9,80,76,10.65,RU,1682412421
341,christchurch,-43.5333,172.6333,59.95,53,98,8.05,NZ,1682412173
342,zadar,44.1197,15.2422,63.21,45,0,11.5,HR,1682412422
343,manggar,-2.8833,108.2667,84.54,69,98,5.53,ID,1682412423
344,flin flon,54.7682,-101.865,27.93,83,97,6.15,CA,1682412424
345,atamyrat,37.8357,65.2106,93.69,11,16,7.61,TM,1682412319
346,nemuro,43.3236,145.575,40.23,79,15,8.97,JP,1682412273
347,ayang-ni,38.2431,125.78,50.72,70,100,6.42,KP,1682412425
348,brookings,44.3114,-96.7984,32.0,71,0,6.91,US,1682412426
349,holualoa,19.6228,-155.9522,70.77,88,85,4.0,US,1682412427
350,kabompo,-13.5927,24.2008,79.72,42,76,7.45,ZM,1682412427
351,jining,35.405,116.5814,66.07,46,15,8.43,CN,1682412428
352,hotan,37.0997,79.9269,79.0,8,11,7.67,CN,1682412269
353,bonthe,7.5264,-12.505,84.29,75,96,4.99,SL,1682412429
354,luderitz,-26.6481,15.1594,74.71,56,1,10.49,NA,1682412430
355,saint croix,17.7397,-64.7388,73.96,83,0,4.61,VI,1682412430
356,saint-paul,-21.0096,55.2707,78.91,98,81,1.99,RE,1682412431
357,patos,-7.0244,-37.28,71.49,84,67,4.68,BR,1682412361
358,jiguani,20.3667,-76.4272,67.78,84,59,3.78,CU,1682412432
359,ocean city,39.2776,-74.5746,48.22,72,3,4.0,US,1682412401
360,ambon,-3.6954,128.1814,85.95,84,40,5.75,ID,1682412434
361,blackpool,53.8167,-3.05,48.07,55,0,3.44,GB,1682412435
362,luanda,-8.8368,13.2343,84.2,79,75,5.75,AO,1682412435
363,beledweyne,4.7358,45.2036,92.25,45,74,7.87,SO,1682412436
